cost,gate count,tqc3TT,tqc3RT,tqc3GC,tqc2TT,tqc2RT,tqc2GC,tqc1TT,tqc1RT,tqc1GC,tqc0TT,tqc0RT,tqc0GC
17,10,0.034302377700805665,0.1051150639851888,11.666666666666666,0.02785789966583252,0.10299880504608154,11.666666666666666,0.019634342193603514,0.11242131392161052,11.7,0.016209944089253744,0.10697260697682699,27.266666666666666
17,11,0.027733222643534342,0.09842861493428548,11.533333333333333,0.023926178614298504,0.10956111749013266,11.533333333333333,0.02116525173187256,0.10741678873697917,11.533333333333333,0.011723065376281738,0.11135233243306478,30.6
17,12,0.033629870414733885,0.09575422604878743,10.333333333333334,0.022102777163187662,0.11086318492889405,10.166666666666666,0.019372709592183433,0.10821308294932047,10.566666666666666,0.016025201479593913,0.1090678056081136,30.9
17,13,0.028722453117370605,0.0980804999669393,12.266666666666667,0.02202261288960775,0.10457011858622232,12.266666666666667,0.02170997460683187,0.11203249295552571,12.266666666666667,0.011966562271118164,0.109392515818278,32.6
17,14,0.02788386344909668,0.09848415851593018,10.1,0.02387214501698812,0.10833779970804851,10.1,0.019063496589660646,0.10698302586873372,10.1,0.012195309003194174,0.11003204981486002,34.666666666666664
17,15,0.02823646863301595,0.09832514921824137,9.833333333333334,0.021708075205485025,0.10579344431559244,9.833333333333334,0.022220762570699056,0.1124405066172282,9.833333333333334,0.01216561794281006,0.10348747571309408,38.46666666666667
17,16,0.027425622940063475,0.0945592482884725,8.266666666666667,0.02408324877421061,0.11023189226786295,8.266666666666667,0.02160828113555908,0.10643489360809326,8.266666666666667,0.012195277214050292,0.10659643014272054,38.93333333333333
17,17,0.025268816947937013,0.09947334130605062,7.333333333333333,0.021881103515625,0.10776475270589193,7.333333333333333,0.01704262892405192,0.11244444052378337,7.333333333333333,0.010593541463216146,0.10747493902842203,40.2
18,3,0.02547874450683594,0.10024027029673259,7.4,0.013686267534891765,0.10960295995076498,6.933333333333334,0.012315734227498373,0.11449480851491292,6.933333333333334,0.013042577107747396,0.11238691012064615,14.1
18,4,0.02809120814005534,0.101339324315389,6.666666666666667,0.01471383571624756,0.11516170501708985,6.4,0.01295772393544515,0.10758415857950847,6.4,0.01394641399383545,0.1083170493443807,16.1
18,5,0.032975419362386064,0.0967507282892863,7.6,0.020558508237202962,0.10311787923177083,9.133333333333333,0.018026161193847656,0.10756866137186687,8.833333333333334,0.01793355941772461,0.11165180206298828,19.0
18,6,0.03104562759399414,0.09414800802866617,6.3,0.015817904472351076,0.11649553775787354,6.966666666666667,0.013743376731872559,0.11089829603830974,7.033333333333333,0.01742714246114095,0.10993416309356689,20.6
18,7,0.032466578483581546,0.09640535513559977,10.3,0.023541935284932456,0.10392103989919027,10.3,0.018360002835591634,0.10523404280344645,10.3,0.01490935484568278,0.11960232257843018,22.366666666666667
18,8,0.031031258900960288,0.09838476181030273,11.9,0.019171563784281413,0.11360116799672444,11.9,0.016261665026346843,0.11180125077565511,11.966666666666667,0.014499179522196452,0.10535080432891845,25.966666666666665
18,9,0.035144472122192384,0.09820320606231689,9.833333333333334,0.023679256439208984,0.10465033054351806,9.866666666666667,0.01843891938527425,0.11005059878031413,9.866666666666667,0.01763592561086019,0.10801184177398682,30.2
18,10,0.03257749875386556,0.09985077381134033,11.666666666666666,0.021254372596740723,0.1078519344329834,11.666666666666666,0.018877879778544108,0.11140399773915609,11.766666666666667,0.016060829162597656,0.10818812052408854,28.966666666666665
18,11,0.027037930488586426,0.10032623608907064,12.066666666666666,0.023232022921244305,0.10416269302368164,12.066666666666666,0.020253952344258627,0.10794591903686523,12.066666666666666,0.013936456044514973,0.10469019412994385,30.733333333333334
