cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
95,23,0.1453625679016113,0.0977704524993896,24.6,0.0543172597885131,0.1116628170013427,25.1,0.0434174299240112,0.1056326627731323,28.0,0.0300210237503051,0.1196391582489013,43.8
95,24,0.1119553327560424,0.0991204023361206,15.4,0.056212830543518,0.1050924062728881,20.5,0.0451677799224853,0.1267066001892089,24.0,0.0314178705215454,0.1208459138870239,31.8
95,25,0.0762667894363403,0.0866610288619995,11.0,0.0382009506225585,0.1096379518508911,8.0,0.0303979635238647,0.1095655918121338,8.0,0.0355889797210693,0.0978573083877563,42.6
95,26,0.1544706106185913,0.1036465167999267,27.9,0.0760066270828247,0.1035948038101196,21.5,0.0499003648757934,0.1093401670455932,26.7,0.0316143989562988,0.1166739463806152,50.5
95,27,0.0321194887161254,0.0939124822616577,3.0,0.0279616832733154,0.1141525030136108,3.0,0.0434580087661743,0.1060495615005493,3.0,0.0187463760375976,0.0963226795196533,73.0
95,28,0.1203670024871826,0.0969161033630371,16.3,0.0616921424865722,0.1103341341018676,17.4,0.0499088764190673,0.1079330205917358,18.9,0.0347951650619506,0.1229802131652832,42.1
95,29,0.1443273782730102,0.101034140586853,23.6,0.0558574676513671,0.1001046180725097,19.9,0.0463307619094848,0.1046756267547607,23.8,0.033760929107666,0.1200013637542724,39.0
95,30,0.1578434467315674,0.1017383337020874,20.3,0.0578270196914672,0.1146754741668701,17.6,0.0460191011428833,0.1124902486801147,20.6,0.0341601848602294,0.103792119026184,45.5
95,31,0.1235269546508789,0.0957228422164917,24.1,0.0519462585449218,0.1091949939727783,16.9,0.0426066637039184,0.1025378227233886,21.0,0.0303375005722045,0.1153328418731689,61.0
95,32,0.0860504627227783,0.1061429023742675,9.0,0.0363829612731933,0.0991057872772216,15.0,0.0267542600631713,0.1110016345977783,15.0,0.0340288877487182,0.1163880586624145,59.1
95,33,0.1143380403518676,0.0842032432556152,12.0,0.0566452503204345,0.1079742431640625,13.2,0.0522861957550048,0.0990623712539672,12.0,0.0363211870193481,0.1099307060241699,69.4
95,34,0.1740913152694702,0.0942820787429809,22.9,0.0625822067260742,0.0999762058258056,18.3,0.0611718416213989,0.1012928247451782,22.5,0.0363238096237182,0.1178566694259643,49.6
