ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Qubits 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Qubits 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Qubits 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3,Qubits 3
9,5,51.0,23.0,0.1083137665306318,0.0100152492523193,8.0,4.0,0.103820561645832,0.0080246925354003,8.0,4.0,0.0993705601910266,0.0110266208648681,8.0,4.0,0.0949565936324678,0.0155954360961914,51.0,23.0,0.0722181797027587,0.0080528259277343,"{'4': 11, '0': 5, '0,1': 2, '3,5': 2, '1,0': 1, '5,3': 1, '3,1': 1}",8.0,4.0,0.0837545394897461,0.0100252628326416,"{'2': 2, '0': 1, '1,3': 1}",8.0,4.0,0.0810332298278808,0.0125513076782226,"{'6': 2, '4': 1, '5,3': 1}",8.0,4.0,0.0821466445922851,0.0155601501464843,"{'6': 2, '4': 1, '5,3': 1}"
9,6,16.0,16.0,0.1075132972972161,0.0100378990173339,10.0,10.0,0.103523186469032,0.0178213119506835,10.0,10.0,0.0989408450483399,0.015068769454956,10.0,10.0,0.0945472043206371,0.0205214023590087,16.0,16.0,0.0671529769897461,0.0060131549835205,"{6: 9, 1: 3, 4: 3, 5: 1}",10.0,10.0,0.0806777477264404,0.0110301971435546,"{1: 3, 4: 3, 6: 3, 5: 1}",10.0,10.0,0.0875439643859863,0.0158624649047851,"{0: 3, 1: 3, 3: 3, 2: 1}",10.0,10.0,0.0830793380737304,0.0200903415679931,"{3: 3, 4: 3, 5: 3, 6: 1}"
9,7,19.0,19.0,0.1072921057440786,0.0080277919769287,8.0,8.0,0.1034609264553238,0.0100421905517578,8.0,8.0,0.0990686565012154,0.0155544281005859,8.0,8.0,0.094596338852295,0.0175859928131103,19.0,19.0,0.1672539710998535,0.0035078525543212,"{4: 6, 5: 6, 6: 4, 0: 3}",8.0,8.0,0.0829918384552002,0.0148286819458007,"{0: 3, 6: 3, 4: 1, 5: 1}",8.0,8.0,0.0818212032318115,0.0160341262817382,"{2: 3, 3: 3, 0: 1, 1: 1}",8.0,8.0,0.0761702060699462,0.0200490951538085,"{2: 3, 3: 3, 0: 1, 1: 1}"
9,8,18.0,18.0,0.1073041167237839,0.0060141086578369,7.0,7.0,0.1035190118770802,0.0100319385528564,7.0,7.0,0.0991381906240312,0.0160419940948486,7.0,7.0,0.0946759015547266,0.0185096263885498,18.0,18.0,0.066202163696289,0.0060095787048339,"{2: 6, 5: 6, 3: 4, 6: 2}",7.0,7.0,0.091728925704956,0.0120244026184082,"{3: 3, 6: 2, 2: 1, 5: 1}",7.0,7.0,0.0797867774963378,0.0134246349334716,"{5: 3, 6: 2, 3: 1, 4: 1}",7.0,7.0,0.0782012939453125,0.020064353942871,"{5: 3, 4: 2, 3: 1, 6: 1}"
9,9,25.0,25.0,0.1068957532150997,0.0060091018676757,5.0,5.0,0.103509263458222,0.0045361518859863,5.0,5.0,0.0991740779996739,0.0125305652618408,5.0,5.0,0.0947351523955103,0.0160140991210937,25.0,25.0,0.0661487579345703,0.0060100555419921,"{2: 11, 0: 6, 6: 6, 1: 2}",5.0,5.0,0.0875284671783447,0.0085258483886718,"{1: 2, 0: 1, 2: 1, 6: 1}",5.0,5.0,0.0803060531616211,0.0143444538116455,"{0: 2, 1: 1, 2: 1, 3: 1}",5.0,5.0,0.0792906284332275,0.0200622081756591,"{6: 2, 3: 1, 4: 1, 5: 1}"
10,2,40.0,8.0,0.1093041551005553,0.0075290203094482,10.0,2.0,0.1040300362907836,0.0045497417449951,10.0,2.0,0.0995443015099223,0.005997896194458,10.0,2.0,0.0951861364028397,0.0129930973052978,40.0,8.0,0.0645709037780761,0.0060093402862548,"{'1,2': 2, '3,5': 2, '5,3': 2, '2,1': 1, '3,1': 1}",10.0,2.0,0.0861904621124267,0.0075170993804931,"{'5,3': 1, '6,5': 1}",10.0,2.0,0.0766763687133789,0.0069832801818847,"{'5,3': 1, '6,5': 1}",10.0,2.0,0.0811934471130371,0.0110352039337158,"{'1,3': 1, '2,1': 1}"
10,4,16.0,12.0,0.1077294837726296,0.0017828941345214,13.0,9.0,0.1035748875533563,0.0100219249725341,13.0,9.0,0.0991366802345561,0.0135366916656494,13.0,9.0,0.0947677134315505,0.0200622081756591,16.0,12.0,0.0611891746520996,0.0030136108398437,"{'4': 5, '1': 3, '2': 3, '3,5': 1}",13.0,9.0,0.0801947116851806,0.0115270614624023,"{'1': 3, '2': 3, '4': 2, '3,5': 1}",13.0,9.0,0.0822560787200927,0.0159087181091308,"{'1': 3, '4': 3, '6': 2, '5,3': 1}",13.0,9.0,0.0767812728881836,0.0200669765472412,"{'1': 3, '6': 3, '4': 2, '5,3': 1}"
10,5,34.0,18.0,0.1080417328987491,0.0080413818359375,11.0,7.0,0.1037374508583941,0.0120186805725097,11.0,7.0,0.0993104674337839,0.0160214900970459,11.0,7.0,0.09495248875191,0.0230247974395751,34.0,18.0,0.0641524791717529,0.0080149173736572,"{'3': 6, '2': 5, '4': 3, '5,6': 2, '6,5': 1, '4,5': 1}",11.0,7.0,0.0831091403961181,0.0125429630279541,"{'5': 3, '4': 2, '5,3': 1, '6': 1}",11.0,7.0,0.1734440326690673,0.0161848068237304,"{'5': 3, '4': 2, '5,3': 1, '6': 1}",11.0,7.0,0.0808465480804443,0.0205674171447753,"{'5': 3, '4': 2, '5,3': 1, '6': 1}"
10,6,48.0,20.0,0.1084432313979341,0.0080368518829345,12.0,8.0,0.1035987365338218,0.0085229873657226,12.0,8.0,0.0991492285575103,0.0115463733673095,12.0,8.0,0.0948719829572455,0.0220601558685302,48.0,20.0,0.0669484138488769,0.0068514347076416,"{'0': 5, '6': 5, '3': 2, '1,3': 2, '5,6': 2, '2': 1, '3,1': 1, '6,5': 1, '5,3': 1}",12.0,8.0,0.0807416439056396,0.0120301246643066,"{'1': 2, '2': 2, '0': 1, '1,3': 1, '3': 1, '5': 1}",12.0,8.0,0.0870490074157714,0.0137636661529541,"{'4': 2, '5': 2, '1': 1, '5,3': 1, '3': 1, '6': 1}",12.0,8.0,0.07417893409729,0.0195424556732177,"{'1': 2, '2': 2, '0': 1, '1,3': 1, '3': 1, '5': 1}"
10,7,17.0,17.0,0.1074085836408765,0.0080206394195556,11.0,11.0,0.1032393510855799,0.0080153942108154,11.0,11.0,0.0988586559437016,0.0140309333801269,11.0,11.0,0.0944673510142035,0.0195851325988769,17.0,17.0,0.0657119750976562,0.0065164566040039,"{5: 8, 1: 4, 3: 3, 0: 1, 2: 1}",11.0,11.0,0.0905895233154296,0.0124845504760742,"{1: 3, 3: 3, 5: 3, 0: 1, 2: 1}",11.0,11.0,0.0771450996398925,0.0164883136749267,"{0: 3, 1: 3, 2: 3, 3: 1, 5: 1}",11.0,11.0,0.0806870460510253,0.0200352668762207,"{4: 3, 5: 3, 6: 3, 1: 1, 3: 1}"
