Cost,Depth,Selected Optimization Level,time0,depth0,time1,depth1,time2,depth2,time3,depth3,Actual Optimization Level,Time Difference
16,9,1,5.346544981002808,24,5.249414682388306,4,5.113105058670044,4,5.12435507774353,10,2,199.99360746410665
5,2,1,5.441758394241333,4,5.348532199859619,3,5.259615182876587,3,5.227351665496826,3,3,199.97870318083073
49,11,1,5.338961362838745,25,5.168737888336182,9,5.812952995300293,8,5.236308813095093,8,3,199.99309213997017
50,49,0,5.782092094421387,103,5.5085227489471436,3,5.330101490020752,3,5.333287477493286,3,2,199.99591311273522
16,8,1,5.431119441986084,9,5.115709543228149,8,5.3786139488220215,8,5.186331272125244,8,1,199.97726534307017
51,37,1,5.265783786773682,52,5.241750955581665,6,5.076290845870972,6,5.283392429351807,9,2,199.97723351763258
45,5,1,5.174503564834595,22,5.326859712600708,6,5.2462756633758545,6,5.721643924713135,6,1,199.98310829042737
57,29,2,5.285902500152588,74,5.3820061683654785,15,5.197933673858643,14,5.2471842765808105,13,3,199.98398126012302
52,49,3,5.320278644561768,115,5.37217378616333,3,5.262169361114502,3,5.263144254684448,3,2,199.98724914186212
37,8,2,5.148228645324707,17,5.402395725250244,11,5.170676231384277,8,5.655730724334717,8,2,199.99595345352674
62,30,2,5.502344608306885,83,5.133016347885132,8,5.430844783782959,8,5.508519172668457,11,1,199.9959097111082
52,26,1,5.407537221908569,74,5.196859121322632,7,5.314620494842529,5,5.908985376358032,10,2,199.98857310674634
51,11,0,5.226396799087524,29,5.229974269866943,3,5.415915012359619,3,5.2373833656311035,3,1,199.98329294774376
48,38,2,5.379159212112427,68,5.337646245956421,9,5.244301080703735,6,5.262686729431152,11,2,199.9756809788944
28,3,1,5.182568311691284,12,5.297515392303467,3,5.309567213058472,3,5.208495378494263,3,1,199.99294673879305
8,6,0,5.208758115768433,18,5.253594160079956,2,5.211480617523193,2,5.098320484161377,2,3,199.99025269140262
24,13,2,5.9999377727508545,39,5.166975259780884,3,5.28008508682251,3,5.232954502105713,3,1,199.9941929887591
28,25,1,5.393461465835571,63,5.332415819168091,3,5.279036283493042,3,5.203898668289185,3,3,199.99173904966224
68,43,1,5.294955253601074,109,5.3300158977508545,7,5.582894563674927,3,5.082216501235962,3,3,199.9887323523898
31,29,1,5.181056976318359,61,5.26186990737915,2,5.256450891494751,2,5.132712364196777,2,3,199.96751009754757
94,30,1,5.223045825958252,46,5.349598169326782,18,5.5805299282073975,18,5.60001540184021,12,3,199.96768704012854
69,35,0,5.299454212188721,99,5.383031368255615,2,5.199826717376709,2,5.430617809295654,10,2,199.96404988191549
38,35,3,5.655850648880005,83,5.282540798187256,2,5.111610412597656,2,5.3060362339019775,2,2,199.96401884627974
